Algoritmo,Silhouette Score,Davies-Bouldin ↓,Calinski-Harabasz ↑,Nº Clusters,Outliers,% Outliers
K-Means,0.5197655441295056,0.7058887290382296,33556.10722155949,2,0,0.0%
DBSCAN,0.3209373026657547,0.6601134483405612,31.264444342224017,4,177,0.8%
Hierarchical,0.49778075290437096,0.6366459518927711,23408.783634559335,2,0,0.0%
GMM,0.4484169017386094,0.810498752226111,23926.0415824062,2,0,0.0%
