CO_ESCOLA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,TP_DEPENDENCIA_ADM_ESC,CO_UF_ESC,TP_LOCALIZACAO_ESC,QTD_ALUNOS,MEDIA_GERAL,STD_NOTAS,NOTA_MAX,NOTA_MIN,DIF_MT_LC,DIF_CN_CH,PCT_NU_NOTA_CN,PCT_NU_NOTA_CH,PCT_NU_NOTA_LC,PCT_NU_NOTA_MT,PCT_NU_NOTA_REDACAO,cluster
11000058.0,571.7576923076923,579.5384615384615,581.3769230769232,659.2692307692307,779.2307692307693,4.0,11.0,1.0,26,634.2346153846154,88.51495268660786,779.2307692307693,571.7576923076923,77.89230769230755,-7.780769230769238,0.9318237554156789,0.900188016022235,0.931088040546064,0.9363197907299926,0.875010218262078,1
11000198.0,504.4266666666666,491.65333333333336,538.5,514.2733333333333,729.3333333333334,4.0,11.0,1.0,15,555.6373333333333,98.60458120977727,729.3333333333334,491.65333333333336,-24.226666666666688,12.773333333333255,0.736368838387967,0.4701218016839696,0.7178124744543448,0.607782228398594,0.792364914575329,1
11000260.0,532.0117647058823,536.7735294117647,546.5147058823529,581.5529411764705,770.5882352941177,2.0,11.0,1.0,34,593.4882352941175,100.88271409213354,770.5882352941177,532.0117647058823,35.03823529411761,-4.761764705882342,0.838387966974577,0.7727458513855964,0.7769966484100385,0.8250633532248836,0.8627483037684951,1
11000350.0,535.0421052631579,548.1999999999999,536.0421052631579,574.0263157894736,741.0526315789474,4.0,11.0,1.0,19,586.8726315789474,87.6102427321084,741.0526315789474,535.0421052631579,37.98421052631579,-13.157894736842081,0.8468895610234611,0.8192593803645876,0.6979481729747404,0.8106760402190796,0.8115752472819423,1
11000384.0,448.6642857142857,439.8285714285715,460.7857142857143,480.87857142857143,537.1428571428571,2.0,11.0,1.0,14,473.46000000000004,38.784917973935386,537.1428571428571,439.8285714285715,20.092857142857156,8.835714285714232,0.1966811084770702,0.08440284476416252,0.06490640071936565,0.36605902068176244,0.21311207389847134,0
11000678.0,482.9086956521739,497.50869565217397,507.94782608695647,488.58260869565214,613.9130434782609,2.0,11.0,1.0,23,518.1721739130435,54.35275061167393,613.9130434782609,482.9086956521739,-19.365217391304327,-14.60000000000008,0.5930679310062944,0.5206408893975313,0.41355350282024034,0.4302297065315131,0.49750674405297146,0
11000708.0,435.4294117647059,433.1764705882353,469.5764705882353,462.0352941176471,634.1176470588235,2.0,11.0,1.0,17,486.8670588235294,83.85527341135281,634.1176470588235,433.1764705882353,-7.541176470588198,2.2529411764705856,0.07373497915474536,0.05853020518270253,0.1061064334178043,0.19177634267963706,0.5678083871495136,0
11000856.0,448.50384615384615,444.11538461538464,459.75384615384615,454.3923076923077,508.46153846153845,2.0,11.0,1.0,26,463.0453846153846,26.067883672665047,508.46153846153845,444.11538461538464,-5.36153846153843,4.388461538461513,0.1950461865445925,0.10635167170767595,0.061963541240905744,0.12776914902313413,0.13831439548761545,0
11000880.0,541.5739130434783,561.1869565217391,536.491304347826,582.9478260869565,766.9565217391304,4.0,11.0,1.0,23,597.8313043478261,96.30051270212358,766.9565217391304,536.491304347826,46.456521739130494,-19.613043478260806,0.8643014796043489,0.8560451238453364,0.7022807160958064,0.8272704978337284,0.857761791874438,1
11001046.0,448.355,450.48,458.89,439.82,468.0,2.0,11.0,1.0,20,453.10900000000004,10.73861629820155,468.0,439.82,-19.069999999999993,-2.125,0.19349301070873864,0.14428186054115916,0.05853020518270253,0.041690509278181964,0.07050600833810186,0
