CO_ESCOLA,TP_DEPENDENCIA_ADM_ESC,QTD_ALUNOS,MEDIA_GERAL,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,cluster
11000058.0,4.0,91,634.094065934066,573.8384615384615,587.4758241758242,580.1076923076923,643.5538461538462,785.4945054945055,1
11000198.0,4.0,47,561.9744680851063,508.6659574468086,516.6680851063829,541.3340425531915,526.1829787234043,717.0212765957447,1
11000252.0,4.0,17,600.6541176470588,535.6,568.070588235294,576.5058823529412,605.4470588235295,717.6470588235294,1
11000260.0,2.0,99,583.290303030303,525.3060606060606,537.1393939393939,543.0858585858585,575.1626262626263,735.7575757575758,1
11000350.0,4.0,49,592.0657142857142,536.865306122449,547.9836734693877,538.6999999999999,581.269387755102,755.5102040816327,1
11000384.0,2.0,32,473.10125000000005,447.746875,441.909375,473.790625,468.934375,533.125,0
11000457.0,2.0,15,472.2,438.56666666666666,449.09333333333325,484.25999999999993,431.7466666666667,557.3333333333334,0
11000554.0,2.0,16,513.8025,475.06875,483.625,478.75624999999997,500.3125,631.25,0
11000678.0,2.0,86,522.1174418604651,475.75465116279065,494.9244186046512,511.4534883720929,491.71046511627907,636.7441860465116,1
11000708.0,2.0,64,480.16281250000003,445.7109375,433.665625,464.01718750000003,447.7328125,609.6875,0
11000856.0,2.0,79,467.6324050632911,447.6,442.8772151898735,458.2151898734177,460.8620253164556,528.6075949367089,0
11000880.0,4.0,69,594.3852173913044,530.1391304347827,556.9449275362318,542.1652173913043,573.1115942028986,769.5652173913044,1
11001046.0,2.0,64,469.13531249999994,457.72968749999995,449.084375,469.66875,461.69375,507.5,0
11001119.0,2.0,62,471.531935483871,457.15483870967745,461.10322580645163,486.34354838709675,460.15483870967745,492.9032258064516,0
11001135.0,2.0,46,494.7452173913043,451.1152173913043,442.9391304347827,476.7260869565218,465.9891304347825,636.9565217391304,0
11001143.0,2.0,20,443.683,428.90999999999997,439.725,458.945,437.83500000000004,453.0,0
11001283.0,2.0,38,508.6763157894737,468.8973684210526,480.1684210526315,516.4763157894737,468.3657894736842,609.4736842105264,0
11001305.0,2.0,41,460.49658536585355,446.53902439024387,432.0585365853659,464.0024390243902,467.6878048780487,492.1951219512195,0
11001410.0,2.0,22,499.7236363636363,454.4454545454546,459.8227272727272,478.1454545454544,468.9318181818181,637.2727272727273,0
11001496.0,2.0,33,469.87212121212116,461.18484848484843,456.70303030303035,473.17272727272734,452.8454545454545,505.45454545454544,0
11001550.0,2.0,53,468.79886792452834,438.6509433962264,447.77169811320766,472.5698113207548,457.4547169811321,527.5471698113207,0
11001640.0,2.0,174,520.2836781609196,469.6057471264368,475.196551724138,513.101724137931,492.9396551724138,650.5747126436781,1
11002018.0,2.0,89,473.7723595505619,441.18764044943816,456.4640449438203,459.94943820224717,449.46292134831464,561.7977528089888,0
11002123.0,2.0,173,463.41283236994224,448.38323699421966,439.8502890173411,465.1219653179191,453.65086705202316,510.0578034682081,0
11002468.0,2.0,51,517.7796078431372,474.956862745098,477.32352941176464,506.3196078431373,489.9058823529411,640.3921568627451,0
11002476.0,2.0,42,454.0719047619047,448.6714285714285,433.7595238095238,462.5928571428571,470.5738095238095,454.76190476190476,0
11002484.0,2.0,299,546.2351839464883,487.88862876254177,508.73578595317724,518.2976588628762,516.1200668896322,700.133779264214,1
11002506.0,2.0,60,479.802,459.435,453.72,475.39666666666665,466.7916666666667,543.6666666666666,0
11002514.0,2.0,82,466.39365853658535,456.8853658536586,444.4926829268293,480.46707317073174,447.6841463414634,502.4390243902439,0
11002522.0,2.0,160,497.75687500000004,460.58000000000004,466.90375000000006,490.55625,481.49437500000005,589.25,0
11002549.0,2.0,29,470.9068965517241,448.76551724137926,450.0344827586207,467.87931034482756,450.61379310344824,537.2413793103449,0
11003065.0,2.0,209,501.9836363636364,463.0047846889952,475.2215311004785,491.099043062201,477.33923444976074,603.2535885167464,0
11003081.0,4.0,32,586.1568749999999,540.540625,547.7156249999999,560.553125,538.8499999999999,743.125,1
11003090.0,4.0,39,571.1564102564101,515.1769230769229,519.5564102564102,539.0615384615385,537.8846153846152,744.1025641025641,1
11003413.0,2.0,20,458.01599999999996,446.605,415.58000000000004,464.08000000000004,443.81499999999994,520.0,0
11003979.0,2.0,53,451.9366037735848,443.2471698113207,432.6735849056604,450.4867924528301,447.99245283018877,485.2830188679245,0
11004274.0,2.0,39,451.7625641025641,452.75128205128203,434.7051282051281,460.14615384615394,447.1076923076922,464.1025641025641,0
